# apertures (x>=0 half) from screen_pos.stl [aligned, manifold-clean], SI metres
# x y z nx ny nz r_ap
1.63281830e-02 1.42857143e-05 7.55739155e-03  -9.29083848e-02 -8.12866098e-05 9.95674658e-01  2.74434073e-03
1.62855693e-02 2.82181818e-02 9.84359693e-03  -9.26659105e-02 -1.60563224e-01 9.82666006e-01  2.72046742e-03
1.63520405e-02 7.70580645e-02 2.54404520e-02  -9.30441356e-02 -4.38465218e-01 8.93918923e-01  2.51148466e-03
1.62751939e-02 8.43869565e-02 2.92442758e-02  -9.26068733e-02 -4.80167073e-01 8.72274928e-01  2.51040009e-03
1.65156830e-02 -6.95020833e-02 2.19713862e-02  -9.39752715e-02 3.95471211e-01 9.13658125e-01  2.54835314e-03
1.65853945e-02 -6.17432692e-02 1.88382390e-02  -9.43719346e-02 3.51323073e-01 9.31485929e-01  2.64730848e-03
1.66238561e-02 -5.37769231e-02 1.60550134e-02  -9.45907831e-02 3.05994064e-01 9.47322657e-01  2.64536741e-03
1.66555778e-02 -4.56485981e-02 1.36484747e-02  -9.47712821e-02 2.59743385e-01 9.61016013e-01  2.68407074e-03
1.65398575e-02 -3.71716981e-02 1.15714683e-02  -9.41128261e-02 2.11509293e-01 9.72834310e-01  2.67015803e-03
1.65006367e-02 3.71055556e-02 1.15533119e-02  -9.38896572e-02 -2.11132937e-01 9.72937621e-01  2.69747153e-03
1.66256367e-02 4.55962963e-02 1.36313975e-02  -9.46009150e-02 -2.59445784e-01 9.61113184e-01  2.70048451e-03
1.66190484e-02 5.38000000e-02 1.60619893e-02  -9.45634270e-02 -3.06125373e-01 9.47282964e-01  2.64556675e-03
1.65369330e-02 6.17850000e-02 1.88490814e-02  -9.40961854e-02 -3.51560523e-01 9.31424235e-01  2.59725230e-03
1.64482488e-02 6.95631579e-02 2.19909129e-02  -9.35915666e-02 -3.95818729e-01 9.13547017e-01  2.53278065e-03
2.12327438e-02 -1.23036036e-02 8.51896900e-03  -1.20815643e-01 7.00082758e-02 9.90203222e-01  2.73160455e-03
2.12076473e-02 1.22062500e-02 8.50905329e-03  -1.20672842e-01 -6.94543277e-02 9.90259643e-01  2.74434073e-03
2.30750861e-02 -2.30288288e-02 9.84736366e-03  -1.31298687e-01 1.31035480e-01 9.82644574e-01  2.73176774e-03
2.30885997e-02 2.30675439e-02 9.85433695e-03  -1.31375579e-01 -1.31255771e-01 9.82604895e-01  2.76690226e-03
2.38852357e-02 -3.28788991e-02 1.15604272e-02  -1.35908489e-01 1.87082997e-01 9.72897135e-01  2.70840318e-03
2.38658582e-02 3.28046729e-02 1.15434650e-02  -1.35798229e-01 -1.86660645e-01 9.72993651e-01  2.68637955e-03
2.41961265e-02 -8.24311828e-02 2.92257250e-02  -1.37677477e-01 4.69038598e-01 8.72380483e-01  2.51667258e-03
2.43687415e-02 -7.49340426e-02 2.54519474e-02  -1.38659667e-01 4.26379400e-01 8.93853514e-01  2.52487377e-03
2.42630545e-02 -4.20598131e-02 1.36381754e-02  -1.38058301e-01 2.39322973e-01 9.61074617e-01  2.68574757e-03
2.41362187e-02 -4.29375000e-03 8.51547891e-03  -1.37336597e-01 2.44317067e-02 9.90223081e-01  2.74434073e-03
2.41516627e-02 4.22792793e-03 8.51600999e-03  -1.37424475e-01 -2.40571750e-02 9.90220059e-01  2.73224470e-03
2.42598959e-02 4.20824074e-02 1.36433496e-02  -1.38040329e-01 -2.39451536e-01 9.61045176e-01  2.69907574e-03
2.43466642e-02 7.49720430e-02 2.54666562e-02  -1.38534045e-01 -4.26595625e-01 8.93769820e-01  2.51552711e-03
2.42570394e-02 8.24702128e-02 2.92563429e-02  -1.38024075e-01 -4.69260681e-01 8.72206265e-01  2.53689909e-03
2.44792247e-02 -6.71375000e-02 2.19818772e-02  -1.39288323e-01 3.82016584e-01 9.13598431e-01  2.54200385e-03
2.44724380e-02 -5.91141414e-02 1.88567959e-02  -1.39249707e-01 3.36363170e-01 9.31380339e-01  2.57945921e-03
2.44169825e-02 -5.07495050e-02 1.60651984e-02  -1.38934161e-01 2.88767865e-01 9.47264704e-01  2.60963561e-03
2.44366389e-02 5.07754902e-02 1.60760064e-02  -1.39046007e-01 -2.88915722e-01 9.47203206e-01  2.62036550e-03
2.44786340e-02 5.91608247e-02 1.88745894e-02  -1.39284962e-01 -3.36628802e-01 9.31279093e-01  2.55542213e-03
2.44844330e-02 6.71333333e-02 2.19809291e-02  -1.39317959e-01 -3.81992875e-01 9.13603825e-01  2.54338313e-03
2.82121116e-02 -1.63205357e-02 9.84590608e-03  -1.60528683e-01 9.28648713e-02 9.82652867e-01  2.74384363e-03
2.82182293e-02 1.62907407e-02 9.84409243e-03  -1.60563494e-01 -9.26953361e-02 9.82663187e-01  2.69460306e-03
3.01929610e-02 -2.71813084e-02 1.15572454e-02  -1.71799841e-01 1.54663349e-01 9.72915239e-01  2.68253043e-03
3.02147258e-02 2.71783784e-02 1.15606243e-02  -1.71923684e-01 -1.54646677e-01 9.72896013e-01  2.73371272e-03
3.11929610e-02 -3.71813084e-02 1.36314463e-02  -1.77489904e-01 2.11563976e-01 9.61112906e-01  2.68253043e-03
3.11997108e-02 3.72074074e-02 1.36384401e-02  -1.77528310e-01 -2.11712481e-01 9.61073111e-01  2.69817643e-03
3.17362187e-02 -4.66000000e-02 1.60863627e-02  -1.80581074e-01 2.65156921e-01 9.47144278e-01  2.65915362e-03
3.14940051e-02 -8.42972973e-03 9.84778677e-03  -1.79202863e-01 4.79656906e-02 9.82642166e-01  2.73224470e-03
3.14907403e-02 8.46055046e-03 9.84869863e-03  -1.79184287e-01 -4.81410625e-02 9.82636977e-01  2.70714242e-03
3.17314568e-02 4.65190476e-02 1.60628133e-02  -1.80553978e-01 -2.64696297e-01 9.47278275e-01  2.66617708e-03
3.19549000e-02 -7.98813187e-02 2.92967980e-02  -1.81825384e-01 4.54529711e-01 8.71976073e-01  2.49114759e-03
3.19810728e-02 -7.19741935e-02 2.54332562e-02  -1.81974309e-01 4.09537673e-01 8.93959868e-01  2.51719661e-03
3.20954024e-02 -6.38785714e-02 2.19940550e-02  -1.82624852e-01 3.63473076e-01 9.13529138e-01  2.58562051e-03
3.19729534e-02 -5.53530612e-02 1.88349542e-02  -1.81928109e-01 3.14962388e-01 9.31504620e-01  2.57818314e-03
3.19419330e-02 5.53600000e-02 1.88312450e-02  -1.81751601e-01 -3.15001870e-01 9.31525725e-01  2.59869967e-03
3.20868814e-02 6.38773196e-02 2.19918537e-02  -1.82576367e-01 -3.63465953e-01 9.13541664e-01  2.56977328e-03
3.19864491e-02 7.19827957e-02 2.54382918e-02  -1.82004901e-01 -4.09586620e-01 8.93931215e-01  2.51836072e-03
3.19724948e-02 7.97606742e-02 2.92376392e-02  -1.81925500e-01 -4.53843236e-01 8.72312690e-01  2.46555567e-03
3.26608710e-02 2.56637168e-05 9.85879054e-03  -1.85842404e-01 -1.46028158e-04 9.82579554e-01  2.75376617e-03
3.51355693e-02 -2.03136364e-02 1.15476355e-02  -1.99923592e-01 1.15585864e-01 9.72969920e-01  2.72001815e-03
3.51719330e-02 2.03000000e-02 1.15534920e-02  -2.00130504e-01 -1.15508273e-01 9.72936596e-01  2.66846760e-03
3.71719330e-02 -3.12000000e-02 1.36306828e-02  -2.11510629e-01 1.77529956e-01 9.61117250e-01  2.66846760e-03
3.72037512e-02 3.11545455e-02 1.36292981e-02  -2.11691676e-01 -1.77271317e-01 9.61125129e-01  2.72249460e-03
3.83533055e-02 -4.12441176e-02 1.60662556e-02  -2.18232713e-01 2.34681615e-01 9.47258688e-01  2.62085363e-03
3.86362187e-02 -1.24812500e-02 1.15516911e-02  -2.19842506e-01 7.10190949e-02 9.72946844e-01  2.74330960e-03
3.86471582e-02 1.25432432e-02 1.15586998e-02  -2.19904753e-01 -7.13718404e-02 9.72906964e-01  2.73081357e-03
3.83533055e-02 4.12852941e-02 1.60764624e-02  -2.18232713e-01 -2.34915912e-01 9.47200611e-01  2.62141138e-03
3.92969330e-02 -5.97350000e-02 2.20000733e-02  -2.23602012e-01 3.39895895e-01 9.13494894e-01  2.60264740e-03
3.89565864e-02 -5.07346535e-02 1.88514160e-02  -2.21665419e-01 2.88683359e-01 9.31410951e-01  2.61366373e-03
